OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
1,99101,2022-12-06,841630,815323
2,99102,2022-12-06,841309,815633
3,99103,2022-12-06,841163,815726
4,99104,2022-10-24,840988,815812
5,99105,2022-12-06,840820,816032
6,99106,2022-12-06,840745,816135
7,99107,2022-12-06,840301,816191
8,99108,2022-12-05,840072,816195
9,99109,2022-12-06,839896,816217
10,99110,2022-12-05,839663,816632
11,99111,2022-12-05,839587,816871
12,99112,2022-12-05,839417,816980
13,99113,2022-12-05,839175,817017
14,99114,2022-12-05,839029,816993
15,99115,2022-12-05,838720,816926
16,99116,2022-12-05,838350,816844
17,99117,2022-12-05,838067,816694
18,99118,2022-12-06,837922,816415
19,99119,2022-12-06,837905,816177
20,99120,2022-12-06,837846,815976
21,99121,2022-12-06,837580,815755
22,99122,2022-12-06,837424,815643
23,99123,2022-12-06,837269,815626
24,99124,2022-12-05,837152,815666
25,99125,2022-12-06,836719,815609
26,99126,2022-12-06,836350,815478
27,99127,2022-12-06,836169,815377
28,99128,2022-12-06,835911,815298
29,99129,2022-12-06,835772,815282
30,99130,2022-12-06,835576,815362
31,99131,2022-12-05,835568,815377
32,99132,2022-12-06,835406,815434
33,99133,2022-12-06,834997,815490
34,99134,2022-12-06,834825,815594
35,99135,2022-12-06,834493,815750
36,99136,2022-12-06,834319,815876
37,99137,2022-12-06,834176,816068
38,99138,2022-12-06,834008,816262
39,99139,2022-12-06,833804,816378
40,99140,2022-12-06,833569,816441
41,99141,2022-12-06,833487,816539
42,99142,2022-12-06,833374,816569
43,99143,2022-12-06,833095,816536
44,99144,2022-12-06,832889,816550
45,99145,2022-12-06,832581,816560
46,99146,2022-12-06,832368,816510
47,99147,2022-12-06,832136,816442
48,99148,2022-12-06,831904,816459
49,99149,2022-12-06,831655,816360
50,99150,2022-12-06,831475,816159
51,99151,2022-12-06,831370,816068
52,99152,2022-12-06,831201,816033
53,99153,2022-12-06,831132,816020
54,99201,2022-12-05,831057,816014
55,99202,2022-12-05,831312,816059
56,99203,2022-12-02,831495,816189
57,99204,2022-12-05,831670,816411
58,99205,2022-12-06,831876,816474
59,99206,2022-12-06,832101,816437
60,99207,2022-12-06,832322,816504
61,99208,2022-12-05,832535,816566
62,99209,2022-12-05,832843,816557
63,99210,2022-12-02,833198,816534
64,99211,2022-10-24,833510,816541
65,99212,2022-12-06,833570,816445
66,99213,2022-12-05,833695,816415
67,99214,2022-12-05,833979,816288
68,99215,2022-12-05,834082,816202
69,99216,2022-12-05,834285,815927
70,99217,2022-12-05,834386,815796
71,99218,2022-12-05,834555,815740
72,99219,2022-12-02,834735,815651
73,99220,2022-12-05,834981,815505
74,99221,2022-12-05,835371,815444
75,99222,2022-12-05,835766,815289
76,99223,2022-12-06,835889,815303
77,99224,2022-12-05,836118,815355
78,99225,2022-12-06,837314,815601
79,99226,2022-12-05,836358,815488
80,99227,2022-12-05,836690,815605
81,99228,2022-12-05,836899,815689
82,99230,2022-12-05,837222,815649
83,99231,2022-10-24,837404,815639
84,99232,2022-12-05,837555,815745
85,99233,2022-12-05,837745,815883
86,99234,2022-12-05,837914,816250
87,99235,2022-12-06,837917,816393
88,99236,2022-12-05,838063,816701
89,99237,2022-12-05,838350,816851
90,99238,2022-12-05,838718,816932
91,99239,2022-12-05,839027,817000
92,99240,2022-12-05,839185,817024
93,99241,2022-12-05,839432,816981
94,99242,2022-12-05,839586,816884
95,99243,2022-12-05,839670,816634
96,99244,2022-12-05,839798,816319
97,99245,2022-12-05,840077,816202
98,99246,2022-12-06,840305,816198
99,99247,2022-12-06,840756,816130
100,99248,2022-12-06,840831,816028
101,99249,2022-12-06,841174,815730
102,99250,2022-12-06,841368,815548
103,99251,2022-10-24,841672,815324
104,99252,2022-12-06,840896,815939
105,99301,2022-12-06,836896,815609
106,99302,2022-10-24,836838,815349
107,99303,2022-12-06,836968,815010
108,99304,2022-12-06,837018,814554
109,99305,2022-12-06,836531,815063
110,99306,2022-12-06,836552,815516
111,99307,2022-12-06,837076,814771
112,99308,2022-12-06,836628,814749
113,99309,2022-12-06,836651,815228
114,99310,2022-12-06,841765,815450
115,99311,2022-12-05,838313,816911
116,99312,2022-12-06,838524,816918
117,99313,2022-12-06,831961,816467
